[0613/161331.976:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/build/three.js (21172)
[0613/161332.740:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/libs/ColladaLoader.js (3660)
[0613/161332.759:INFO:CONSOLE(255)] "Loaded: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/cnc_vertical_machining_center_3_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (255)
[0613/161332.759:INFO:CONSOLE(271)] "load end: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/cnc_vertical_machining_center_3_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (271)
[0613/161352.129:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/libs/ColladaLoader.js (3660)
[0613/161352.140:INFO:CONSOLE(255)] "Loaded: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (255)
[0613/161352.140:INFO:CONSOLE(271)] "load end: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (271)
[0613/161358.639:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/libs/ColladaLoader.js (3660)
[0613/161358.641:INFO:CONSOLE(255)] "Loaded: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/bottle_6.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (255)
[0613/161358.641:INFO:CONSOLE(271)] "load end: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/bottle_6.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (271)
[0613/161400.524:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/libs/ColladaLoader.js (3660)
[0613/161400.526:INFO:CONSOLE(255)] "Loaded: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/box_1_open.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (255)
[0613/161400.526:INFO:CONSOLE(271)] "load end: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/box_1_open.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (271)
[0613/161402.933:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/libs/ColladaLoader.js (3660)
[0613/161402.944:INFO:CONSOLE(255)] "Loaded: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (255)
[0613/161402.944:INFO:CONSOLE(271)] "load end: file:C:/Users/User/OneDrive/Study at Curtin/Semester 3/Supply Chain and Decision Making/Assignment 4/Supply Chain Assingnment 4/20972008_Zaidi_ConclusionAssignment/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.0.202404161236/static/init.js (271)
[0613/161531.265:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
